"SiteCode","Year","Treatment","Transect","Distance","cover"
"EnsingS1 SuRDC",2022,"control","N",0.6,2
"EnsingS1 SuRDC",2022,"control","N",0.8,5
"EnsingS1 SuRDC",2022,"control","N",1.2,10
"EnsingS1 SuRDC",2022,"control","N",2,1
"EnsingS1 SuRDC",2022,"control","N",2.2,5
"EnsingS1 SuRDC",2022,"control","N",2.4,3
"EnsingS1 SuRDC",2022,"control","N",2.6,3
"EnsingS1 SuRDC",2022,"control","N",3.2,3
"EnsingS1 SuRDC",2022,"control","N",3.4,7
"EnsingS1 SuRDC",2022,"control","N",5.2,2
"EnsingS1 SuRDC",2022,"control","N",5.4,2
"EnsingS1 SuRDC",2022,"control","N",5.6,3
"EnsingS1 SuRDC",2022,"control","N",5.8,2
"EnsingS1 SuRDC",2022,"control","N",6.2,5
"EnsingS1 SuRDC",2022,"control","N",6.4,5
"EnsingS1 SuRDC",2022,"control","N",6.6,3
"EnsingS1 SuRDC",2022,"control","N",6.8,3
"EnsingS1 SuRDC",2022,"control","N",7,2
"EnsingS1 SuRDC",2022,"control","N",7.2,5
"EnsingS1 SuRDC",2022,"control","N",7.4,3
"EnsingS1 SuRDC",2022,"control","N",8,15
"EnsingS1 SuRDC",2022,"control","N",8.2,50
"EnsingS1 SuRDC",2022,"control","N",8.4,15
"EnsingS1 SuRDC",2022,"control","N",8.6,25
"EnsingS1 SuRDC",2022,"control","N",8.8,25
"EnsingS1 SuRDC",2022,"control","N",9,15
"EnsingS1 SuRDC",2022,"control","N",9.4,3
"EnsingS1 SuRDC",2022,"control","N",9.6,5
"EnsingS1 SuRDC",2022,"control","N",10,5
"EnsingS1 SuRDC",2022,"control","S",0.6,5
"EnsingS1 SuRDC",2022,"control","S",0.8,5
"EnsingS1 SuRDC",2022,"control","S",1,5
"EnsingS1 SuRDC",2022,"control","S",1.2,15
"EnsingS1 SuRDC",2022,"control","S",1.4,2
"EnsingS1 SuRDC",2022,"control","S",1.6,2
"EnsingS1 SuRDC",2022,"control","S",1.8,5
"EnsingS1 SuRDC",2022,"control","S",2.4,5
"EnsingS1 SuRDC",2022,"control","S",2.6,2
"EnsingS1 SuRDC",2022,"control","S",2.8,10
"EnsingS1 SuRDC",2022,"control","S",3,2
"EnsingS1 SuRDC",2022,"control","S",3.2,7
"EnsingS1 SuRDC",2022,"control","S",3.4,5
"EnsingS1 SuRDC",2022,"control","S",3.6,2
"EnsingS1 SuRDC",2022,"control","S",3.8,30
"EnsingS1 SuRDC",2022,"control","S",4,15
"EnsingS1 SuRDC",2022,"control","S",4.2,20
"EnsingS1 SuRDC",2022,"control","S",4.4,2
"EnsingS1 SuRDC",2022,"control","S",4.6,20
"EnsingS1 SuRDC",2022,"control","S",4.8,10
"EnsingS1 SuRDC",2022,"control","S",5,10
"EnsingS1 SuRDC",2022,"control","S",5.2,2
"EnsingS1 SuRDC",2022,"control","S",5.4,2
"EnsingS1 SuRDC",2022,"control","S",5.6,5
"EnsingS1 SuRDC",2022,"control","S",5.8,10
"EnsingS1 SuRDC",2022,"control","S",6,5
"EnsingS1 SuRDC",2022,"control","S",6.2,10
"EnsingS1 SuRDC",2022,"control","S",6.4,3
"EnsingS1 SuRDC",2022,"control","S",6.6,2
"EnsingS1 SuRDC",2022,"control","S",7,5
"EnsingS1 SuRDC",2022,"control","S",7.2,5
"EnsingS1 SuRDC",2022,"control","S",7.4,2
"EnsingS1 SuRDC",2022,"control","S",8.2,2
"EnsingS1 SuRDC",2022,"control","S",8.4,1
"EnsingS1 SuRDC",2022,"control","S",8.6,30
"EnsingS1 SuRDC",2022,"control","S",9.6,2
"EnsingS1 SuRDC",2022,"control","S",9.8,1
"EnsingS1 SuRDC",2022,"removal","E",2.2,2
"EnsingS1 SuRDC",2022,"removal","E",3.4,3
"EnsingS1 SuRDC",2022,"removal","E",3.6,5
"EnsingS1 SuRDC",2022,"removal","E",3.8,25
"EnsingS1 SuRDC",2022,"removal","E",4,2
"EnsingS1 SuRDC",2022,"removal","E",4.2,5
"EnsingS1 SuRDC",2022,"removal","E",4.6,5
"EnsingS1 SuRDC",2022,"removal","E",4.8,5
"EnsingS1 SuRDC",2022,"removal","E",5,7
"EnsingS1 SuRDC",2022,"removal","E",5.2,10
"EnsingS1 SuRDC",2022,"removal","E",5.4,10
"EnsingS1 SuRDC",2022,"removal","E",5.6,15
"EnsingS1 SuRDC",2022,"removal","E",5.8,20
"EnsingS1 SuRDC",2022,"removal","E",6,5
"EnsingS1 SuRDC",2022,"removal","E",6.2,5
"EnsingS1 SuRDC",2022,"removal","E",6.6,1
"EnsingS1 SuRDC",2022,"removal","E",6.8,5
"EnsingS1 SuRDC",2022,"removal","W",2.4,5
"EnsingS1 SuRDC",2022,"removal","W",2.6,3
"EnsingS1 SuRDC",2022,"removal","W",3,15
"EnsingS1 SuRDC",2022,"removal","W",3.2,10
"EnsingS1 SuRDC",2022,"removal","W",3.4,5
"EnsingS1 SuRDC",2022,"removal","W",3.8,2
"EnsingS1 SuRDC",2022,"removal","W",4,5
"EnsingS1 SuRDC",2022,"removal","W",4.2,10
"EnsingS1 SuRDC",2022,"removal","W",4.4,5
"EnsingS1 SuRDC",2022,"removal","W",4.8,5
"EnsingS1 SuRDC",2022,"removal","W",5,15
"EnsingS1 SuRDC",2022,"removal","W",5.2,3
"EnsingS1 SuRDC",2022,"removal","W",5.4,5
"EnsingS1 SuRDC",2022,"removal","W",5.6,2
"EnsingS1 SuRDC",2022,"removal","W",6.2,2
"EnsingS1 SuRDC",2022,"removal","W",6.4,5
"EnsingS2 Summerland-Princeton",2022,"control","E",0.2,7
"EnsingS2 Summerland-Princeton",2022,"control","E",0.6,2
"EnsingS2 Summerland-Princeton",2022,"control","E",1.2,1
"EnsingS2 Summerland-Princeton",2022,"control","E",2,2
"EnsingS2 Summerland-Princeton",2022,"control","E",2.2,5
"EnsingS2 Summerland-Princeton",2022,"control","E",2.4,3
"EnsingS2 Summerland-Princeton",2022,"control","E",2.6,1
"EnsingS2 Summerland-Princeton",2022,"control","E",4.4,2
"EnsingS2 Summerland-Princeton",2022,"control","E",5.4,2
"EnsingS2 Summerland-Princeton",2022,"control","E",5.6,1
"EnsingS2 Summerland-Princeton",2022,"control","E",5.8,3
"EnsingS2 Summerland-Princeton",2022,"control","E",6.2,1
"EnsingS2 Summerland-Princeton",2022,"control","E",6.6,2
"EnsingS2 Summerland-Princeton",2022,"control","E",6.8,5
"EnsingS2 Summerland-Princeton",2022,"control","E",7,15
"EnsingS2 Summerland-Princeton",2022,"control","E",7.2,10
"EnsingS2 Summerland-Princeton",2022,"control","E",7.6,10
"EnsingS2 Summerland-Princeton",2022,"control","E",7.8,10
"EnsingS2 Summerland-Princeton",2022,"control","E",8.2,2
"EnsingS2 Summerland-Princeton",2022,"control","E",8.4,5
"EnsingS2 Summerland-Princeton",2022,"control","E",8.6,1
"EnsingS2 Summerland-Princeton",2022,"control","E",8.8,5
"EnsingS2 Summerland-Princeton",2022,"control","E",9,10
"EnsingS2 Summerland-Princeton",2022,"control","E",9.2,20
"EnsingS2 Summerland-Princeton",2022,"control","E",9.4,2
"EnsingS2 Summerland-Princeton",2022,"control","E",9.6,2
"EnsingS2 Summerland-Princeton",2022,"control","E",9.8,2
"EnsingS2 Summerland-Princeton",2022,"control","S",0.2,15
"EnsingS2 Summerland-Princeton",2022,"control","S",0.6,10
"EnsingS2 Summerland-Princeton",2022,"control","S",0.8,5
"EnsingS2 Summerland-Princeton",2022,"control","S",1,5
"EnsingS2 Summerland-Princeton",2022,"control","S",1.2,15
"EnsingS2 Summerland-Princeton",2022,"control","S",1.4,2
"EnsingS2 Summerland-Princeton",2022,"control","S",1.8,15
"EnsingS2 Summerland-Princeton",2022,"control","S",2,1
"EnsingS2 Summerland-Princeton",2022,"control","S",2.2,2
"EnsingS2 Summerland-Princeton",2022,"control","S",2.4,2
"EnsingS2 Summerland-Princeton",2022,"control","S",2.6,5
"EnsingS2 Summerland-Princeton",2022,"control","S",2.8,10
"EnsingS2 Summerland-Princeton",2022,"control","S",3,3
"EnsingS2 Summerland-Princeton",2022,"control","S",3.2,15
"EnsingS2 Summerland-Princeton",2022,"control","S",3.4,20
"EnsingS2 Summerland-Princeton",2022,"control","S",3.6,40
"EnsingS2 Summerland-Princeton",2022,"control","S",3.8,2
"EnsingS2 Summerland-Princeton",2022,"control","S",4.2,10
"EnsingS2 Summerland-Princeton",2022,"control","S",5,5
"EnsingS2 Summerland-Princeton",2022,"control","S",5.2,1
"EnsingS2 Summerland-Princeton",2022,"control","S",5.4,5
"EnsingS2 Summerland-Princeton",2022,"control","S",6.2,3
"EnsingS2 Summerland-Princeton",2022,"control","S",9,5
"EnsingS2 Summerland-Princeton",2022,"control","S",9.2,3
"EnsingS2 Summerland-Princeton",2022,"control","S",9.4,10
"EnsingS2 Summerland-Princeton",2022,"removal","N",2.8,15
"EnsingS2 Summerland-Princeton",2022,"removal","N",3,50
"EnsingS2 Summerland-Princeton",2022,"removal","N",3.4,5
"EnsingS2 Summerland-Princeton",2022,"removal","N",3.8,5
"EnsingS2 Summerland-Princeton",2022,"removal","N",4,5
"EnsingS2 Summerland-Princeton",2022,"removal","N",4.2,2
"EnsingS2 Summerland-Princeton",2022,"removal","N",4.4,1
"EnsingS2 Summerland-Princeton",2022,"removal","N",4.6,7
