"plantID","missing_plant","emergence_date","death_date","resurrection_date","pheno_regress","growth_regress_mm","herbivory_date","frostheave_date","bad_position","other"
"CH_2022_392",NA,74,NA,NA,NA,-5,160,NA,NA,NA
"CH_2022_313",NA,74,NA,NA,-2,-17,NA,NA,NA,NA
"CH_2022_333",NA,74,114,NA,NA,-1,NA,NA,NA,NA
"CH_2022_353",NA,74,148,NA,-1,-8,NA,NA,NA,NA
"CH_2022_373",NA,74,NA,NA,NA,-10,NA,NA,NA,NA
"CH_2022_393",NA,74,148,NA,NA,-8,NA,NA,NA,NA
"CH_2022_314",NA,74,148,NA,-1,-11,NA,NA,NA,NA
"CH_2022_334",NA,74,129,NA,-1,-14,NA,NA,NA,NA
"CH_2022_354",NA,74,148,NA,NA,-15,NA,NA,NA,NA
"CH_2022_374",NA,74,148,NA,NA,-9,NA,NA,NA,NA
"CH_2022_394",NA,74,148,NA,-2,-4,NA,NA,NA,NA
"CH_2022_315",NA,74,129,NA,-2,-14,NA,NA,NA,NA
"CH_2022_335",NA,74,NA,NA,-1,-40,87,NA,NA,NA
"CH_2022_355",NA,74,NA,NA,NA,-1,NA,NA,NA,NA
"CH_2022_375",NA,74,129,NA,-2,-16,NA,NA,NA,NA
"CH_2022_395",NA,74,148,NA,-3,-27,NA,NA,NA,NA
"CH_2022_316",NA,74,NA,NA,NA,-3,160,NA,NA,NA
"CH_2022_336",NA,74,148,NA,-1,-7,NA,NA,NA,NA
"CH_2022_356",NA,74,NA,NA,NA,-3,160,NA,NA,NA
"CH_2022_376",NA,74,129,NA,NA,-15,NA,NA,NA,NA
"CH_2022_396",NA,74,148,NA,NA,-5,NA,NA,NA,NA
"CH_2022_317",NA,74,NA,NA,NA,-8,NA,NA,NA,NA
"CH_2022_337",NA,74,114,NA,NA,-3,NA,NA,NA,NA
"CH_2022_357",NA,74,129,NA,NA,-5,NA,NA,NA,NA
"CH_2022_377",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CH_2022_397",NA,74,129,NA,-1,-14,NA,NA,NA,NA
"CH_2022_318",NA,74,129,NA,-1,-10,NA,NA,NA,NA
"CH_2022_338",NA,74,NA,NA,NA,-5,NA,NA,NA,NA
"CH_2022_358",NA,74,129,NA,NA,-6,NA,NA,NA,NA
"CH_2022_378",NA,74,148,NA,NA,-18,NA,NA,NA,NA
"CH_2022_398",NA,74,NA,NA,NA,-8,NA,NA,NA,NA
"CH_2022_319",NA,74,NA,NA,-2,-5,87,NA,NA,NA
"CH_2022_339",NA,74,NA,NA,NA,NA,NA,NA,NA,NA
"CH_2022_359",NA,74,NA,NA,NA,-1,NA,NA,NA,NA
