"plantID","missing_plant","emergence_date","death_date","resurrection_date","pheno_regress","growth_regress_mm","herbivory_date","frostheave_date","bad_position","other"
"Boise2022_234",NA,115,157,174,-1,-3,NA,NA,NA,NA
"Boise2022_235",NA,-21,96,NA,NA,NA,NA,NA,NA,NA
"Boise2022_236",NA,-21,NA,NA,NA,NA,NA,NA,NA,NA
"Boise2022_237",NA,-21,96,NA,NA,NA,NA,NA,NA,NA
"Boise2022_238",NA,-21,NA,NA,NA,-6,NA,NA,NA,NA
"Boise2022_239",NA,96,115,NA,NA,NA,NA,NA,NA,NA
"Boise2022_240",NA,-21,NA,NA,-1,-1,NA,NA,NA,NA
"Boise2022_241",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Boise2022_242",NA,-21,96,NA,NA,NA,NA,NA,NA,NA
"Boise2022_243",NA,-21,96,NA,NA,NA,NA,NA,NA,NA
"Boise2022_244",NA,-21,174,NA,NA,-15,NA,NA,NA,NA
"Boise2022_245",NA,-21,NA,NA,NA,NA,NA,NA,NA,NA
"Boise2022_246",NA,-21,96,NA,NA,NA,NA,NA,NA,NA
"Boise2022_247",NA,-21,NA,NA,NA,NA,NA,NA,NA,NA
"Boise2022_248",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Boise2022_249",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Boise2022_250",NA,96,131,143,NA,-3,NA,NA,NA,NA
"Boise2022_251",NA,-21,115,188,NA,-3,NA,NA,NA,NA
"Boise2022_252",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Boise2022_253",NA,-21,96,115,NA,NA,NA,NA,NA,NA
"Boise2022_254",NA,-21,NA,NA,NA,-28,NA,NA,NA,NA
"Boise2022_255",NA,96,174,188,NA,NA,NA,NA,NA,NA
"Boise2022_256",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Boise2022_257",NA,-21,96,188,NA,NA,NA,NA,NA,NA
"Boise2022_258",NA,96,NA,NA,NA,-4,NA,NA,NA,NA
