"plantID","jday","live","v","herbivory","frost_heave","harvested","notes"
"CH_2023_1026",199,"N",NA,NA,NA,"N","D"
"CH_2023_1027",101,"Y","V2",NA,NA,"N","D"
"CH_2023_1027",114,"Y","V2",NA,NA,"N","D"
"CH_2023_1027",129,"Y","V2",NA,NA,"N","D"
"CH_2023_1027",142,"N",NA,NA,NA,"N","D"
"CH_2023_1027",156,"N",NA,NA,NA,"N","D"
"CH_2023_1027",171,"N",NA,NA,NA,"N","D"
"CH_2023_1027",187,"N",NA,NA,NA,"N","D"
"CH_2023_1027",199,"N",NA,NA,NA,"N","D"
"CH_2023_1028",101,"Y","V0",NA,NA,"N","E"
"CH_2023_1028",114,"Y","V2",NA,NA,"N","E"
"CH_2023_1028",129,"Y","V3+",NA,NA,"N","E"
"CH_2023_1028",142,"Y","V3+",NA,NA,"N","E"
"CH_2023_1028",156,"Y","FG",NA,NA,"N","E"
"CH_2023_1028",171,"Y","FG",NA,NA,"N","E"
"CH_2023_1028",187,"Y","FG",NA,NA,"N","E"
"CH_2023_1028",199,"Y","FG",NA,NA,"N","E"
"CH_2023_1029",101,"Y","V3",NA,NA,"N","E"
"CH_2023_1029",114,"Y","V3+",NA,NA,"N","E"
"CH_2023_1029",129,"Y","V3+",NA,NA,"N","E"
"CH_2023_1029",142,"Y","V3+",NA,NA,"N","E"
"CH_2023_1029",156,"Y","FG",NA,NA,"N","E"
"CH_2023_1029",171,"Y","FG",NA,NA,"N","E"
"CH_2023_1029",187,"Y","FG",NA,NA,"N","E"
"CH_2023_1029",199,NA,NA,NA,NA,"Y","E"
"CH_2023_103",100,"Y","V2",NA,NA,"N","D"
"CH_2023_103",114,"Y","V2",NA,NA,"N","D"
"CH_2023_103",129,"Y","V2",NA,NA,"N","D"
"CH_2023_103",142,"N",NA,NA,NA,"N","D"
"CH_2023_103",156,"N",NA,NA,NA,"N","D"
"CH_2023_103",171,"N",NA,NA,NA,"N","D"
"CH_2023_103",187,"N",NA,NA,NA,"N","D"
"CH_2023_103",199,"N",NA,NA,NA,"N","D"
"CH_2023_1030",101,"Y","V3",NA,NA,"N","E"
"CH_2023_1030",114,"Y","V3",NA,NA,"N","D"
"CH_2023_1030",129,"Y","V3",NA,NA,"N","E, SICKLY"
"CH_2023_1030",142,"N",NA,NA,NA,"N","D"
"CH_2023_1030",156,"N",NA,NA,NA,"N","D"
"CH_2023_1030",171,"N",NA,NA,NA,"N","D"
"CH_2023_1030",187,"N",NA,NA,NA,"N","D"
"CH_2023_1030",199,"N",NA,NA,NA,"N","D"
"CH_2023_1031",101,"Y","V2",NA,NA,"N","E"
"CH_2023_1031",114,"Y","V3",NA,NA,"N","E"
"CH_2023_1031",129,"Y","V2",NA,NA,"N","E"
"CH_2023_1031",142,"Y","V3+",NA,NA,"N","E"
"CH_2023_1031",156,"Y","FG",NA,NA,"N","E"
"CH_2023_1031",171,"Y","FG",NA,NA,"N","E"
"CH_2023_1031",187,"Y","FG",NA,NA,"N","E"
"CH_2023_1031",199,NA,NA,NA,NA,"Y","E"
"CH_2023_1032",101,"N",NA,NA,NA,"N","D"
"CH_2023_1032",114,"N",NA,NA,NA,"N","D, FH"
"CH_2023_1032",129,"N",NA,NA,NA,"N","D"
"CH_2023_1032",142,"N",NA,NA,NA,"N","D"
"CH_2023_1032",156,"N",NA,NA,NA,"N","D"
"CH_2023_1032",171,"N",NA,NA,NA,"N","D"
"CH_2023_1032",187,"N",NA,NA,NA,"N","D"
"CH_2023_1032",199,"N",NA,NA,NA,"N","D"
"CH_2023_1033",101,"Y","V3",NA,NA,"N","D"
"CH_2023_1033",114,"Y","V2",NA,NA,"N","D"
"CH_2023_1033",129,"Y","V3",NA,NA,"N","D"
"CH_2023_1033",142,"N",NA,NA,NA,"N","D"
"CH_2023_1033",156,"N",NA,NA,NA,"N","D"
"CH_2023_1033",171,"N",NA,NA,NA,"N","D"
"CH_2023_1033",187,"N",NA,NA,NA,"N","D"
"CH_2023_1033",199,"N",NA,NA,NA,"N","D"
"CH_2023_1034",101,"Y","V3",NA,NA,"N","D"
"CH_2023_1034",114,"Y","V2",NA,NA,"N","D"
"CH_2023_1034",129,"Y","V3",NA,NA,"N","D"
"CH_2023_1034",142,"N",NA,NA,NA,"N","D"
"CH_2023_1034",156,"N",NA,NA,NA,"N","D"
"CH_2023_1034",171,"N",NA,NA,NA,"N","D"
"CH_2023_1034",187,"N",NA,NA,NA,"N","D"
"CH_2023_1034",199,"N",NA,NA,NA,"N","D"
"CH_2023_1035",101,"Y","V2",NA,NA,"N","D"
"CH_2023_1035",114,"Y","V2",NA,NA,"N","D"
"CH_2023_1035",129,"Y","V2",NA,NA,"N","D"
"CH_2023_1035",142,"N",NA,NA,NA,"N","D"
"CH_2023_1035",156,"N",NA,NA,NA,"N","D"
"CH_2023_1035",171,"N",NA,NA,NA,"N","D"
"CH_2023_1035",187,"N",NA,NA,NA,"N","D"
"CH_2023_1035",199,"N",NA,NA,NA,"N","D"
"CH_2023_1036",101,"Y","V2",NA,NA,"N","D"
"CH_2023_1036",114,"Y","V2",NA,NA,"N","D"
"CH_2023_1036",129,"Y","V2",NA,NA,"N","D"
"CH_2023_1036",142,"N",NA,NA,NA,"N","D"
"CH_2023_1036",156,"N",NA,NA,NA,"N","D"
"CH_2023_1036",171,"N",NA,NA,NA,"N","D"
"CH_2023_1036",187,"N",NA,NA,NA,"N","D"
"CH_2023_1036",199,"N",NA,NA,NA,"N","D"
"CH_2023_1037",101,"Y","V2",NA,NA,"N","E"
"CH_2023_1037",114,"Y","V3",NA,NA,"N","E"
"CH_2023_1037",129,"Y","V3+",NA,NA,"N","E"
"CH_2023_1037",142,"Y","V3+",NA,NA,"N","E"
"CH_2023_1037",156,"Y","FG",NA,NA,"N","E"
"CH_2023_1037",171,"Y","FG",NA,NA,"N","E"
"CH_2023_1037",187,"Y","FG",NA,NA,"N","E"
"CH_2023_1037",199,NA,NA,NA,NA,"Y","E"
"CH_2023_1038",101,"Y","V2",NA,NA,"N","E"
