site_code,longitude,latitude,genotype,bioclim1,bioclim2,bioclim3,bioclim4,bioclim5,bioclim6,bioclim7,bioclim8,bioclim9,bioclim10,bioclim11,bioclim12,bioclim13,bioclim14,bioclim15,bioclim16,bioclim17,bioclim18,bioclim19
Holdrege1,-111.57,41.61,51,7.050000000000011,12,0.31800000667572026,891.5,27.750000000000057,-9.849999999999966,37.6,-9.849999999999966,18.450000000000045,18.950000000000045,-3.9499999999999886,383.5,44.400000000000006,17.6,21.5,117,69.10000000000001,69.2,97.2
Hufft1,-108.3286,38.6701,52,9.850000000000023,13.9,0.3569999933242798,899.3000000000001,30.55000000000001,-8.449999999999989,39,-8.449999999999989,-1.7499999999999432,21.55000000000001,-1.7499999999999432,297.8,39.1,14.200000000000001,34.300000000000004,111.2,46.900000000000006,88.5,46.900000000000006
Hufft2,-105.102111,39.547444,53,8.850000000000023,14.9,0.397000002861023,852.2,29.350000000000023,-8.149999999999977,37.5,-8.149999999999977,-1.7499999999999432,20.05000000000001,-1.7499999999999432,482.6,65.4,16.2,40.2,173.70000000000002,59.7,157.70000000000002,59.7
JackieOtt1,-102.97,43.65,54,9.350000000000023,12.8,0.32999999523162843,961,31.250000000000057,-7.449999999999989,38.7,-7.449999999999989,-2.6499999999999773,22.05000000000001,-2.6499999999999773,418.3,81.9,8.4,64.7,198.9,29.400000000000002,154.20000000000002,29.400000000000002
JackieOtt2,-102.32,43.71,55,9.350000000000023,12.3,0.3099999904632569,1006,31.650000000000034,-8.049999999999955,39.7,-8.049999999999955,-3.349999999999966,22.55000000000001,-3.349999999999966,446.6,78.7,9.9,60.6,206.10000000000002,32.800000000000004,169.9,32.800000000000004
JackieOtt5,-102.61,43.78,56,8.750000000000057,12.700000000000001,0.3210000038146973,989.6,31.05000000000001,-8.449999999999989,39.5,-8.449999999999989,-3.6499999999999773,21.750000000000057,-3.6499999999999773,437.90000000000003,82.30000000000001,9.700000000000001,61.5,201.5,32.2,158.60000000000002,32.2
JackieOtt6,-101.94,43.84,57,9.050000000000011,12.100000000000001,0.3019999980926514,1017.6,31.350000000000023,-8.549999999999955,39.900000000000006,-8.549999999999955,-3.849999999999966,22.350000000000023,-3.849999999999966,493.8,84.2,11.200000000000001,60.1,231.20000000000002,38.400000000000006,191.4,38.400000000000006
JackieOtt7,-101.94,43.82,58,9.150000000000034,12,0.3019999980926514,1017.1,31.450000000000045,-8.449999999999989,39.900000000000006,-8.449999999999989,-3.749999999999943,22.450000000000045,-3.749999999999943,498.3,84.7,11.4,59.800000000000004,232.5,39,192.60000000000002,39
Lavin01,-109.07,44.68,59,4.9500000000000455,14,0.3460000038146973,947,27.05000000000001,-13.249999999999943,40.300000000000004,-13.249999999999943,-7.0499999999999545,17.450000000000045,-7.0499999999999545,266,52.1,7.800000000000001,59.400000000000006,123.80000000000001,26.1,91.60000000000001,26.1
Lavin02,-111.03,45.67,60,5.850000000000023,12.8,0.34200000762939453,861.2,26.850000000000023,-10.549999999999955,37.4,-10.549999999999955,-4.749999999999943,17.350000000000023,-4.749999999999943,535,87.10000000000001,22.900000000000002,46.1,229.4,72.60000000000001,165.9,72.60000000000001
