block,density,gravel,x,y,seed_count_total,inflor_mass,biomass_whole,tillers,standard_note,all_seed_drop,herbivory,physical_damage,seed_drop,smut,plantID,site,genotype,first_flower,live,v
1,hi,black,5,9,36,NA,0.15,1,NA,NA,NA,NA,NA,NA,SS2022_49,SS,11,151,Y,FG
1,hi,black,6,1,164,NA,0.51,5,NA,NA,NA,NA,NA,NA,SS2022_51,SS,62,138,Y,FG
1,hi,black,6,10,13,NA,0.06,1,NA,NA,NA,NA,1,NA,SS2022_60,SS,46,151,Y,FG
1,hi,black,6,2,33,NA,0.2,2,physicaldamage,NA,NA,1,1,NA,SS2022_52,SS,103,138,Y,FG
1,hi,black,6,5,56,NA,0.13,1,NA,NA,NA,NA,NA,NA,SS2022_55,SS,5,151,Y,FG
1,hi,black,6,6,30,NA,0.08,1,NA,NA,NA,NA,NA,NA,SS2022_56,SS,2,165,Y,FG
1,hi,black,6,9,57,NA,0.21,1,NA,NA,NA,NA,NA,NA,SS2022_59,SS,12,138,Y,FG
1,hi,black,7,3,115,NA,0.49,3,NA,NA,NA,NA,NA,NA,SS2022_63,SS,62,138,Y,FG
1,hi,black,7,4,53,NA,0.12,1,NA,NA,NA,NA,NA,NA,SS2022_64,SS,24,138,Y,FG
1,hi,black,7,5,127,NA,0.46,3,NA,NA,NA,NA,NA,NA,SS2022_65,SS,29,151,Y,FG
1,hi,black,7,6,105,NA,0.26,1,NA,NA,NA,NA,NA,NA,SS2022_66,SS,5,151,Y,FG
1,hi,black,7,7,41,NA,0.12,2,NA,NA,NA,NA,NA,NA,SS2022_67,SS,39,151,Y,FG
1,hi,black,7,9,18,NA,0.05,1,NA,NA,NA,NA,NA,NA,SS2022_69,SS,91,151,Y,FG
1,hi,black,8,1,287,NA,0.68,5,NA,NA,NA,NA,NA,NA,SS2022_71,SS,58,138,Y,FG
1,hi,black,8,10,320,NA,0.66,7,NA,NA,NA,NA,NA,NA,SS2022_80,SS,35,151,Y,FG
1,hi,black,8,2,34,NA,0.11,1,NA,NA,NA,NA,NA,NA,SS2022_72,SS,65,138,Y,FG
1,hi,black,8,5,174,NA,0.54,3,physicaldamage,NA,NA,1,NA,NA,SS2022_75,SS,51,151,Y,FG
1,hi,black,8,6,122,NA,0.39,3,NA,NA,NA,NA,NA,NA,SS2022_76,SS,44,151,Y,FG
1,hi,black,8,8,25,NA,0.08,1,NA,NA,NA,NA,NA,NA,SS2022_78,SS,45,165,Y,FG
1,hi,black,8,9,39,NA,0.12,1,NA,NA,NA,NA,NA,NA,SS2022_79,SS,17,151,Y,FG
