"plantID","site","year","block","plot","x","y","genotype","growout","density","gravel"
"CH_2023_1949","CH",2023,7,1,5,4,97,2020,"high","black"
"CH_2023_1957","CH",2023,7,1,5,5,89,2020,"high","black"
"CH_2023_1965","CH",2023,7,1,5,6,59,2020,"high","black"
"CH_2023_1973","CH",2023,7,1,5,7,68,2020,"high","black"
"CH_2023_1981","CH",2023,7,1,5,8,79,2020,"high","black"
"CH_2023_1989","CH",2023,7,1,5,9,44,2020,"high","black"
"CH_2023_1926","CH",2023,7,1,6,1,1,2020,"high","black"
"CH_2023_1998","CH",2023,7,1,6,10,18,2020,"high","black"
"CH_2023_1934","CH",2023,7,1,6,2,102,2020,"high","black"
"CH_2023_1942","CH",2023,7,1,6,3,26,2020,"high","black"
"CH_2023_1950","CH",2023,7,1,6,4,73,2020,"high","black"
"CH_2023_1958","CH",2023,7,1,6,5,36,2020,"high","black"
"CH_2023_1966","CH",2023,7,1,6,6,83,2020,"high","black"
"CH_2023_1974","CH",2023,7,1,6,7,87,2020,"high","black"
"CH_2023_1982","CH",2023,7,1,6,8,29,2020,"high","black"
"CH_2023_1990","CH",2023,7,1,6,9,66,2020,"high","black"
"CH_2023_1927","CH",2023,7,1,7,1,71,2020,"high","black"
"CH_2023_1999","CH",2023,7,1,7,10,98,2020,"high","black"
"CH_2023_1935","CH",2023,7,1,7,2,49,2020,"high","black"
"CH_2023_1943","CH",2023,7,1,7,3,52,2020,"high","black"
"CH_2023_1951","CH",2023,7,1,7,4,38,2021,"high","black"
"CH_2023_1959","CH",2023,7,1,7,5,32,2020,"high","black"
"CH_2023_1967","CH",2023,7,1,7,6,65,2020,"high","black"
"CH_2023_1975","CH",2023,7,1,7,7,39,2020,"high","black"
"CH_2023_1983","CH",2023,7,1,7,8,56,2020,"high","black"
"CH_2023_1991","CH",2023,7,1,7,9,2,2020,"high","black"
"CH_2023_1928","CH",2023,7,1,8,1,92,2020,"high","black"
"CH_2023_2000","CH",2023,7,1,8,10,58,2020,"high","black"
"CH_2023_1936","CH",2023,7,1,8,2,88,2020,"high","black"
"CH_2023_1944","CH",2023,7,1,8,3,54,2020,"high","black"
"CH_2023_1952","CH",2023,7,1,8,4,19,2020,"high","black"
"CH_2023_1960","CH",2023,7,1,8,5,90,2020,"high","black"
"CH_2023_1968","CH",2023,7,1,8,6,57,2020,"high","black"
"CH_2023_1976","CH",2023,7,1,8,7,101,2020,"high","black"
"CH_2023_1984","CH",2023,7,1,8,8,72,2020,"high","black"
"CH_2023_1992","CH",2023,7,1,8,9,12,2020,"high","black"
"CH_2023_2081","CH",2023,7,3,1,1,64,2020,"high","white"
"CH_2023_2153","CH",2023,7,3,1,10,1,2020,"high","white"
"CH_2023_2089","CH",2023,7,3,1,2,53,2020,"high","white"
"CH_2023_2097","CH",2023,7,3,1,3,91,2020,"high","white"
"CH_2023_2105","CH",2023,7,3,1,4,52,2020,"high","white"
"CH_2023_2113","CH",2023,7,3,1,5,102,2020,"high","white"
"CH_2023_2121","CH",2023,7,3,1,6,72,2020,"high","white"
"CH_2023_2129","CH",2023,7,3,1,7,32,2020,"high","white"
"CH_2023_2137","CH",2023,7,3,1,8,12,2020,"high","white"
"CH_2023_2145","CH",2023,7,3,1,9,37,2020,"high","white"
"CH_2023_2082","CH",2023,7,3,2,1,54,2020,"high","white"
"CH_2023_2154","CH",2023,7,3,2,10,33,2020,"high","white"
"CH_2023_2090","CH",2023,7,3,2,2,81,2020,"high","white"
"CH_2023_2098","CH",2023,7,3,2,3,28,2020,"high","white"
"CH_2023_2106","CH",2023,7,3,2,4,68,2020,"high","white"
"CH_2023_2114","CH",2023,7,3,2,5,66,2020,"high","white"
"CH_2023_2122","CH",2023,7,3,2,6,75,2020,"high","white"
"CH_2023_2130","CH",2023,7,3,2,7,39,2020,"high","white"
"CH_2023_2138","CH",2023,7,3,2,8,101,2020,"high","white"
"CH_2023_2146","CH",2023,7,3,2,9,8,2020,"high","white"
"CH_2023_2083","CH",2023,7,3,3,1,77,2020,"high","white"
"CH_2023_2155","CH",2023,7,3,3,10,90,2020,"high","white"
