SiteCode,"Transect (N, E, S, or W)",Treatment (control OR removal),Distance from center (m),Planting date,Emergence census date,Emerged (Yes or No),BRTE neighbors ,Final census date,Seeds (Yes or No),Seeds produced,Total plant dry mass (g),Seed mass (g),Seed drop (Y or N),Unfilled seeds,Smut seeds,Notes (Herbivore damage? Disease?)
Woodruff,S,control,9,9/15/2021,11/5/2021,Y,0,6/29/2022,N,0,,,,,,lots of grass surrounding pick
Woodruff,S,control,9.2,9/15/2021,11/5/2021,Y,0,6/29/2022,N,0,,,,,,
Woodruff,S,control,9.4,9/15/2021,11/5/2021,Y,0,6/29/2022,N,0,,,,,,
Woodruff,S,control,9.6,9/15/2021,11/5/2021,N,0,6/29/2022,N,0,,,,,,
Woodruff,S,control,9.8,9/15/2021,11/5/2021,N,0,6/29/2022,N,0,,,,,,
Woodruff,S,control,10,9/15/2021,11/5/2021,N,0,6/29/2022,N,0,,,,,,lots of grass surrounding pick
Woodruff,W,control,0.2,9/15/2021,11/5/2021,N,0,6/29/2022,N,0,,,,,,
Woodruff,W,control,0.4,9/15/2021,11/5/2021,Y,0,6/29/2022,Y,4,0.014,0.006,Y,2,0,
Woodruff,W,control,0.6,9/15/2021,11/5/2021,Y,0,6/29/2022,Y,31,0.039,0.059,N,4,0,
Woodruff,W,control,0.8,9/15/2021,11/5/2021,Y,0,6/29/2022,Y,38,0.066,0.082,N,7,0,
Woodruff,W,control,1,9/15/2021,11/5/2021,N,0,6/29/2022,N,0,,,,,,
Woodruff,W,control,1.2,9/15/2021,11/5/2021,Y,0,6/29/2022,N,0,,,,,,
Woodruff,W,control,1.4,9/15/2021,11/5/2021,Y,0,6/29/2022,Y,3,0.004,0.004,N,1,0,
Woodruff,W,control,1.6,9/15/2021,11/5/2021,N,0,6/29/2022,Y,2,0.004,0.003,N,0,0,
Woodruff,W,control,1.8,9/15/2021,11/5/2021,Y,0,6/29/2022,Y,0,0.008,0.000,Y,0,0,
Woodruff,W,control,2,9/15/2021,11/5/2021,Y,0,6/29/2022,Y,8,0.012,0.012,N,4,0,
Woodruff,W,control,2.2,9/15/2021,11/5/2021,N,0,6/29/2022,N,0,,,,,,
Woodruff,W,control,2.4,9/15/2021,11/5/2021,Y,0,6/29/2022,Y,5,0.008,0.005,N,2,0,
Woodruff,W,control,2.6,9/15/2021,11/5/2021,Y,0,6/29/2022,N,0,,,,,,lots of grass surrounding pick
Woodruff,W,control,2.8,9/15/2021,11/5/2021,Y,0,6/29/2022,N,0,,,,,,
Woodruff,W,control,3,9/15/2021,11/5/2021,N,0,6/29/2022,Y,11,0.019,0.012,N,5,0,
Woodruff,W,control,3.2,9/15/2021,11/5/2021,Y,0,6/29/2022,Y,5,0.012,0.013,N,0,0,
Woodruff,W,control,3.4,9/15/2021,11/5/2021,Y,0,6/29/2022,N,0,,,,,,
Woodruff,W,control,3.6,9/15/2021,11/5/2021,Y,0,6/29/2022,Y,4,0.004,0.001,N,4,0,
Woodruff,W,control,3.8,9/15/2021,11/5/2021,N,0,6/29/2022,N,0,,,,,,
Woodruff,W,control,4,9/15/2021,11/5/2021,N,0,6/29/2022,N,0,,,,,,
Woodruff,W,control,4.2,9/15/2021,11/5/2021,Y,0,6/29/2022,Y,3,0.003,0.001,N,3,0,
Woodruff,W,control,4.4,9/15/2021,11/5/2021,Y,0,6/29/2022,Y,1,0.004,0.001,Y,1,0,
Woodruff,W,control,4.6,9/15/2021,11/5/2021,Y,0,6/29/2022,Y,4,0.009,0.005,N,3,0,
Woodruff,W,control,4.8,9/15/2021,11/5/2021,Y,0,6/29/2022,Y,2,0.004,0.001,N,2,0,
Woodruff,W,control,5,9/15/2021,11/5/2021,Y,0,6/29/2022,Y,3,0.007,0.003,N,2,0,
Woodruff,W,control,5.2,9/15/2021,11/5/2021,Y,0,6/29/2022,Y,3,0.006,0.005,N,1,0,
Woodruff,W,control,5.4,9/15/2021,11/5/2021,Y,0,6/29/2022,Y,10,0.014,0.020,N,0,0,
Woodruff,W,control,5.6,9/15/2021,11/5/2021,Y,0,6/29/2022,Y,3,0.006,0.003,N,1,0,
Woodruff,W,control,5.8,9/15/2021,11/5/2021,Y,0,6/29/2022,N,0,,,,,,
Woodruff,W,control,6,9/15/2021,11/5/2021,Y,0,6/29/2022,Y,3,0.006,0.003,N,2,0,
